id,price,url
xkzwkf59,"92,700",https://www.yad2.co.il/item/xkzwkf59
qslpi9tl,"83,000",https://www.yad2.co.il/item/qslpi9tl
l6z49cuk,"97,000",https://www.yad2.co.il/item/l6z49cuk
4bku4156,"101,000",https://www.yad2.co.il/item/4bku4156
rfifqn3p,"127,000",https://www.yad2.co.il/item/rfifqn3p
gydexscw,"88,500",https://www.yad2.co.il/item/gydexscw
9ikorr4b,"92,000",https://www.yad2.co.il/item/9ikorr4b
91ug03a3,"95,000",https://www.yad2.co.il/item/91ug03a3
47an2j2l,"105,000",https://www.yad2.co.il/item/47an2j2l
n5z0earc,"92,000",https://www.yad2.co.il/item/n5z0earc
woejz0um,"96,500",https://www.yad2.co.il/item/woejz0um
iffcfwr2,"75,000",https://www.yad2.co.il/item/iffcfwr2
e95uul4t,"67,000",https://www.yad2.co.il/item/e95uul4t
6gvqapd9,0,https://www.yad2.co.il/item/6gvqapd9
ne4j4rqe,0,https://www.yad2.co.il/item/ne4j4rqe
dty3oq3t,"90,000",https://www.yad2.co.il/item/dty3oq3t
csz5f35f,0,https://www.yad2.co.il/item/csz5f35f
s2s4o0fj,"100,000",https://www.yad2.co.il/item/s2s4o0fj
ztknl1a7,"92,500",https://www.yad2.co.il/item/ztknl1a7
utec86j2,"74,900",https://www.yad2.co.il/item/utec86j2
hyfd78ot,"84,999",https://www.yad2.co.il/item/hyfd78ot
sncfbh45,0,https://www.yad2.co.il/item/sncfbh45
djs8dz7u,"59,900",https://www.yad2.co.il/item/djs8dz7u
5tsv9nld,"104,900",https://www.yad2.co.il/item/5tsv9nld
ivopjerq,"78,000",https://www.yad2.co.il/item/ivopjerq
sv7p9dzo,"108,000",https://www.yad2.co.il/item/sv7p9dzo
6gvqapd9,0,https://www.yad2.co.il/item/6gvqapd9
myen01ke,0,https://www.yad2.co.il/item/myen01ke
7baopd1b,0,https://www.yad2.co.il/item/7baopd1b
bm3tbsq6,"74,900",https://www.yad2.co.il/item/bm3tbsq6
txqd6lmj,"87,000",https://www.yad2.co.il/item/txqd6lmj
qt693hj6,"74,900",https://www.yad2.co.il/item/qt693hj6
farx5x83,"87,000",https://www.yad2.co.il/item/farx5x83
yiae3jke,0,https://www.yad2.co.il/item/yiae3jke
j908ba32,0,https://www.yad2.co.il/item/j908ba32
tibtzw7t,0,https://www.yad2.co.il/item/tibtzw7t
u8ho4wt5,"95,000",https://www.yad2.co.il/item/u8ho4wt5
